time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-10-20T21:41:04.260Z,37.857,-122.2526667,7.989,3.95,mw,260,14,0.001802,0.17,nc,nc71667366,2017-03-17T22:06:27.625Z,"San Francisco Bay area, California",earthquake,0.08,0.14,,10,reviewed,nc,nc
2011-08-27T07:21:59.970Z,36.6011667,-121.2025,6.462,3.61,mw,92,33,0.06757,0.07,nc,nc71627850,2017-03-17T22:04:05.459Z,"Central California",earthquake,0.1,0.34,,3,reviewed,nc,nc
2011-08-27T07:18:21.150Z,36.5843333,-121.1808333,7.5,4.64,mw,97,31,0.08108,0.08,nc,nc71627835,2017-03-17T22:03:22.852Z,"Central California",earthquake,0.11,0.3,,5,reviewed,nc,nc
2011-08-24T06:36:54.060Z,37.7438333,-122.1486667,8.092,3.6,mw,266,20,0.01712,0.17,nc,nc71625060,2017-03-17T22:01:53.116Z,"San Francisco Bay area, California",earthquake,0.1,0.23,,4,reviewed,nc,nc
2011-07-06T07:18:52.360Z,36.6651667,-121.2928333,7.19,3.8,mw,86,39,0.01532,0.06,nc,nc71596420,2017-03-17T22:00:24.161Z,"Central California",earthquake,0.11,0.26,,5,reviewed,nc,nc
2011-01-13T04:00:35.890Z,36.8028333,-121.5416667,7.173,3.92,mw,142,30,0.02703,0.18,nc,nc71509345,2017-03-17T21:54:50.749Z,"Central California",earthquake,0.14,0.24,,5,reviewed,nc,nc
2011-01-13T03:54:34.980Z,36.8018333,-121.5405,7.333,3.68,mw,107,28,0.02793,0.17,nc,nc71509330,2017-03-17T21:54:13.001Z,"Central California",earthquake,0.17,0.3,,4,reviewed,nc,nc
2011-01-12T08:51:03.680Z,36.7711667,-121.4963333,7.661,4.5,mw,134,35,0.01802,0.19,nc,nc71508850,2017-03-17T21:53:45.259Z,"Central California",earthquake,0.15,0.28,,16,reviewed,nc,nc
2011-01-08T00:10:16.740Z,37.2871667,-121.6581667,9.593,4.1,mw,244,55,0.03063,0.18,nc,nc71506865,2017-03-17T21:53:02.637Z,"Northern California",earthquake,0.14,0.37,,10,reviewed,nc,nc
2010-08-10T00:51:10.830Z,36.9085,-121.6408333,5.253,3.85,mw,134,34,0.02883,0.12,nc,nc71444201,2017-03-17T21:44:12.371Z,"Central California",earthquake,0.12,0.24,,4,reviewed,nc,nc
2010-06-12T06:05:13.610Z,36.8626667,-121.6091667,7.592,3.57,mw,97,64,0.01441,0.12,nc,nc71413856,2017-03-17T21:39:24.548Z,"Central California",earthquake,0.15,0.27,,7,reviewed,nc,nc
